Model,Sampler,Accuracy,ROC-AUC,CV-AUC Mean,CV-AUC Std,Precision (Fail),Recall (Fail),F1 (Fail),Precision (Succ),Recall (Succ),F1 (Succ),Train Time (s)
XGBoost,SMOTE - ENN,0.5425531914893617,0.6833827883424193,0.6892015883442202,0.01224638089413922,0.19128329297820823,0.7149321266968326,0.3018147086914995,0.9183937823834197,0.5148874364560639,0.6598417868776175,0.72
LightGBM,SMOTE - ENN,0.7909887359198998,0.6794855364636219,0.6899913676726762,0.01412019784478317,0.296028880866426,0.37104072398190047,0.3293172690763052,0.894776684330053,0.8583877995642701,0.8762045959970348,0.83
Gradient Boosting,SMOTE - ENN,0.762828535669587,0.6823148230299326,0.6906959808094602,0.011378892177829378,0.27167630057803466,0.4253393665158371,0.3315696649029982,0.8985623003194888,0.8169934640522876,0.8558387219475085,2.75
SVM (RBF),SMOTE - ENN,0.5707133917396746,0.6110700355221693,0.5867376974111769,0.01630984535148934,0.18106995884773663,0.5972850678733032,0.27789473684210525,0.8975834292289988,0.5664488017429193,0.6945681211041852,9.35
Logistic Regression,SMOTE - Tomek,0.5869837296620776,0.6360177052218575,0.6394071462326127,0.023805810175335985,0.18776671408250356,0.5972850678733032,0.2857142857142857,0.9005586592178771,0.5853304284676834,0.7095070422535211,0.76
Random Forest,SMOTE - Tomek,0.7853566958698373,0.6826598579770436,0.68488668079687,0.01077004824787682,0.2689393939393939,0.3212669683257919,0.2927835051546392,0.8875562218890555,0.859840232389252,0.8734784212467724,0.73
XGBoost,SMOTE - Tomek,0.5607008760951189,0.6829227417462713,0.6855333629801386,0.013411290443208964,0.19975031210986266,0.7239819004524887,0.3131115459882583,0.9234629861982434,0.5344952795933188,0.6770929162833487,0.73
LightGBM,SMOTE - Tomek,0.8429286608260326,0.6774564023698971,0.6862194083516281,0.017098553990559994,0.3611111111111111,0.17647058823529413,0.23708206686930092,0.8778523489932886,0.9498910675381264,0.9124520404604116,3.43
Gradient Boosting,SMOTE - Tomek,0.8347934918648311,0.6769602092554803,0.6916691671489882,0.014379846690315664,0.3252032520325203,0.18099547511312217,0.23255813953488372,0.8772881355932204,0.9397240377632534,0.9074333800841514,3.8
SVM (RBF),SMOTE - Tomek,0.5682102628285357,0.6090589746875791,0.5817449176622436,0.012094229580224207,0.17655172413793102,0.579185520361991,0.27061310782241016,0.8934707903780069,0.5664488017429193,0.6933333333333334,19.51
Logistic Regression,SMOTE,0.5994993742177722,0.6404275804506485,0.639079784724677,0.029274005784143697,0.19054652880354506,0.583710407239819,0.2873051224944321,0.9001085776330076,0.6020334059549746,0.721496953872933,0.56
Random Forest,SMOTE,0.83729662077597,0.6758413102127058,0.6718099987201572,0.006843764498121168,0.33043478260869563,0.17194570135746606,0.2261904761904762,0.8766014834794336,0.944081336238199,0.9090909090909091,0.52
XGBoost,SMOTE,0.6433041301627034,0.690066608175028,0.6721456116812117,0.009234378151261446,0.22257551669316375,0.6334841628959276,0.32941176470588235,0.9164086687306502,0.644880174291939,0.7570332480818415,1.34
